name;maxEnergy;QValue,reactants;products;a0;a1;a2;a3;a4;a5;a6
mg35(e-,)al35;1.2962612423267712e+30;15.858;mg35;al35;1.55878;0.0;0.0;0.0;0.0;0.0;0.0
mg36(e-,)al36;4.28759292328029e+31;14.43;mg36;al36;5.18027;0.0;0.0;0.0;0.0;0.0;0.0
mg37(e-,)al37;8.012358683675491e+35;18.48;mg37;al37;14.7961;0.0;0.0;0.0;0.0;0.0;0.0
mg38(,e-)al38;0.0;0.0;mg38;al38;1.87161;0.0;0.0;0.0;0.0;0.0;0.0
mg39(,e-)al39;0.0;0.0;mg39;al39;2.63665;0.0;0.0;0.0;0.0;0.0;0.0
mg41(,e-)al41;0.0;0.0;mg41;al41;3.75987;0.0;0.0;0.0;0.0;0.0;0.0
al21(,e+)mg21;9.56239445757987e+30;16.62;al21;mg21;3.00028;0.0;0.0;0.0;0.0;0.0;0.0
al22(,e+)mg22;1.7169321235447213e+30;18.6;al22;mg22;1.21645;0.0;0.0;0.0;0.0;0.0;0.0
al23(,e+)mg23;4.910802879651871e+29;12.221;al23;mg23;0.428648;0.0;0.0;0.0;0.0;0.0;0.0
al24(,e+)mg24;1.177543249545131e+29;13.885;al24;mg24;-1.08477;0.0;0.0;0.0;0.0;0.0;0.0
al25(,e+)mg25;9.947567984779317e+27;4.276;al25;mg25;-2.33781;0.0;0.0;0.0;0.0;0.0;0.0
al26(,e+)mg26;1.8982043978445758e+29;4.004;al26;mg26;-4.62175;-2.64931;0.0;-0.025978;-0.0291284;0.00389774;0.0
al28(e-,)si28;5.1686290723528505e+26;4.6428;al28;si28;-5.26435;0.0;0.0;0.0;0.0;0.0;0.0
al29(e-,)si29;1.3453530013933266e+26;3.6801;al29;si29;-6.34286;0.0;0.0;0.0;0.0;0.0;0.0
al30(e-,)si30;3.29204370668882e+28;8.56;al30;si30;-1.65299;0.0;0.0;0.0;0.0;0.0;0.0
al31(e-,)si31;1.6725232731815782e+29;7.995;al31;si31;0.0735436;0.0;0.0;0.0;0.0;0.0;0.0
al32(e-,)si32;5.110941379710668e+30;13.016;al32;si32;3.03771;0.0;0.0;0.0;0.0;0.0;0.0
al33(e-,)si33;3.3529462509356127e+30;12.077;al33;si33;2.72191;0.0;0.0;0.0;0.0;0.0;0.0
al34(e-,)si34;3.608520530865297e+30;16.909;al34;si34;2.48886;0.0;0.0;0.0;0.0;0.0;0.0
al35(e-,)si35;2.810872377088139e+30;14.141;al35;si35;2.4469;0.0;0.0;0.0;0.0;0.0;0.0
al36(e-,)si36;1.6324581043896932e+30;18.367;al36;si36;1.67037;0.0;0.0;0.0;0.0;0.0;0.0
al37(e-,)si37;1.7289847171788888e+31;16.403;al37;si37;4.171;0.0;0.0;0.0;0.0;0.0;0.0
al38(e-,)si38;3.0478394580005217e+31;16.9047;al38;si38;4.73462;0.0;0.0;0.0;0.0;0.0;0.0
al39(e-,)si39;2.5683283644201557e+31;18.1276;al39;si39;4.5197;0.0;0.0;0.0;0.0;0.0;0.0
al40(e-,)si40;4.285853397769842e+31;22.6466;al40;si40;4.83469;0.0;0.0;0.0;0.0;0.0;0.0
al41(e-,)si41;8.516809677482222e+35;21.769;al41;si41;14.7961;0.0;0.0;0.0;0.0;0.0;0.0
al42(,e-)si42;0.0;0.0;al42;si42;3.9661;0.0;0.0;0.0;0.0;0.0;0.0
si22(,e+)al22;6.574623823098407e+30;14.802;si22;al22;2.78828;0.0;0.0;0.0;0.0;0.0;0.0
si23(,e+)al23;1.7770841860028984e+30;16.325;si23;al23;1.42603;0.0;0.0;0.0;0.0;0.0;0.0
si24(,e+)al24;7.324938410585349e+29;10.802;si24;al24;0.994645;0.0;0.0;0.0;0.0;0.0;0.0
si25(,e+)al25;6.2848266667841936e+29;12.742;si25;al25;0.716832;0.0;0.0;0.0;0.0;0.0;0.0
si26(,e+)al26;3.651204348217738e+28;5.07;si26;al26;-1.16851;0.0;0.0;0.0;0.0;0.0;0.0
si27(,e+)al27;1.7935131818585551e+28;4.812;si27;al27;-1.78962;0.0;0.0;0.0;0.0;0.0;0.0
si31(e-,)p31;2.1291832158010633e+24;1.4915;si31;p31;-9.51922;0.0;0.0;0.0;0.0;0.0;0.0
si32(e-,)p32;6.135740948437612e+17;0.227;si32;p32;-22.6646;0.0;0.0;0.0;0.0;0.0;0.0
si33(e-,)p33;1.2063068646943654e+28;5.823;si33;p33;-2.17644;0.0;0.0;0.0;0.0;0.0;0.0
si34(e-,)p34;2.036544426630505e+28;4.592;si34;p34;-1.38536;0.0;0.0;0.0;0.0;0.0;0.0
si35(e-,)p35;1.5254367550348083e+29;10.497;si35;p35;-0.169345;0.0;0.0;0.0;0.0;0.0;0.0
si36(e-,)p36;1.8173911188488335e+29;7.834;si36;p36;0.326634;0.0;0.0;0.0;0.0;0.0;0.0
si37(e-,)p37;1.290471428359741e+30;12.401;si37;p37;1.8551;0.0;0.0;0.0;0.0;0.0;0.0
si38(e-,)p38;6.95325265755746e+29;10.0;si38;p38;1.47865;0.0;0.0;0.0;0.0;0.0;0.0
si39(e-,)p39;2.3195556102153362e+30;10.1202;si39;p39;2.69761;0.0;0.0;0.0;0.0;0.0;0.0
si40(e-,)p40;1.3801695418568147e+30;7.72491;si40;p40;2.47393;0.0;0.0;0.0;0.0;0.0;0.0
si41(e-,)p41;4.471315335668928e+30;15.3584;si41;p41;2.98708;0.0;0.0;0.0;0.0;0.0;0.0
si42(e-,)p42;1.236069031502412e+31;15.553;si42;p42;4.01551;0.0;0.0;0.0;0.0;0.0;0.0
si43(,e-)p43;0.0;0.0;si43;p43;3.36943;0.0;0.0;0.0;0.0;0.0;0.0
si45(,e-)p45;0.0;0.0;si45;p45;1.78103;0.0;0.0;0.0;0.0;0.0;0.0
p24(,e+)si24;5.6228798752675245e+31;23.96;p24;si24;4.53976;0.0;0.0;0.0;0.0;0.0;0.0
p25(,e+)si25;1.1890588005660916e+31;17.32;p25;si25;3.35077;0.0;0.0;0.0;0.0;0.0;0.0
p26(,e+)si26;6.651404993428732e+30;18.113;p26;si26;2.76389;0.0;0.0;0.0;0.0;0.0;0.0
p27(,e+)si27;6.933937913377501e+29;11.669;p27;si27;0.97986;0.0;0.0;0.0;0.0;0.0;0.0
