         t  he3                            
       n14    p  c13                       
       n14    p  c13                       
       n15    n  n14                       
       n15    p  c14                       
       n15    p  c14                       
       n16    n  n15                       
       n16    n  n15                       
       n16  he4  c12                       
       n17    n  n16                       
       n17    n  o16                       
       n17  he4  b13                       
       n18    n  n17                       
       n18    n  o17                       
       n18  he4  c14                       
       n19    n  n18                       
       n19    n  o18                       
       n20    n  n19                       
       n20    n  o19                       
       n21    n  o20                       
       n22    n  o21                       
       n24    n  n23                       
       o13    n  o12                       
       o13    p  n12                       
       o13    p  n12                       
       o13    p  c12                       
       o14    n  o13                       
       o14    p  n13                       
       o14    p  n13                       
       o15    n  o14                       
       o15    p  n14                       
       o15    p  n14                       
       o15    p  n14                       
       o15    p  n14                       
       o16    n  o15                       
       o16    p  n15                       
       o16    p  n15                       
       o16    p  n15                       
       o16  he4  c12                       
       o16  he4  c12                       
       o17    n  o16                       
       o17    n  o16                       
       o18    n  o17                       
       o18    n  o17                       
       o18  he4  c14                       
       o18  he4  c14                       
       o18  he4  c14                       
       o19    n  o18                       
       o19    n  o18                       
       o20    n  o19                       
       o20    n  o19                       
       o21    n  o20                       
       o22    n  o21                       
       o22    n  f21                       
       o23    n  o22                       
       o23    n  f22                       
       o24    n  o23                       
       o24    n  f23                       
       o25    n  o24                       
       o25    n  f24                       
       o26    n  f25                       
       o26    n  o25                       
       o27    n  f26                       
       o27    n  o26                       
       o28    n  f27                       
       o28    n  o27                       
       o29    n  f28                       
       o31    n  f30                       
       o32    n  f31                       
       o33    n  f32                       
       o34    n  f33                       
       f15    n  f14                       
       f15    p  o14                       
       f16    n  f15                       
       f16    p  o15                       
       f17    n  f16                       
       f17    p  o16                       
       f18    n  f17                       
       f18    p  o17                       
       f18    p  o17                       
       f18    p  o17                       
       f18  he4  n14                       
       f18  he4  n14                       
       f18  he4  n14                       
       f19    n  f18                       
       f19    p  o18                       
       f19    p  o18                       
       f19    p  o18                       
       f19    p  o18                       
       f19  he4  n15                       
       f19  he4  n15                       
       f19  he4  n15                       
       f19  he4  n15                       
       f20    n  f19                       
       f20    n  f19                       
       f20    p  o19                       
       f21    n  f20                       
       f21    p  o20                       
       f22    n  f21                       
       f22    n ne21                       
       f22    p  o21                       
       f23    n  f22                       
       f23    n ne22                       
       f23    p  o22                       
       f24    n  f23                       
       f24    n ne23                       
       f24    p  o23                       
       f25    n  f24                       
       f25    n ne24                       
       f25    p  o24                       
       f26    n  f25                       
       f26    n ne25                       
       f26    p  o25                       
       f27    n  f26                       
       f27    n ne26                       
       f27    p  o26                       
       f28    n  f27                       
       f28    n ne27                       
       f28    p  o27                       
       f29    n ne28                       
       f30    n ne29                       
       f31    n ne30                       
       f32    n ne31                       
       f33    n ne32                       
       f34    n ne33                       
       f36    n ne35                       
       f38    n ne37                       
      ne17    n ne16                       
      ne17    p  o16                       
      ne18    n ne17                       
      ne18    p  f17                       
      ne18    p  f17                       
      ne18  he4  o14                       
      ne18  he4  o14                       
      ne18  he4  o14                       
      ne18  he4  o14                       
      ne19    n ne18                       
      ne19    p  f18                       
      ne19    p  f18                       
      ne19    p  f18                       
      ne19  he4  o15                       
      ne19  he4  o15                       
      ne19  he4  o15                       
      ne20    n ne19                       
      ne20    p  f19                       
      ne20    p  f19                       
      ne20    p  f19                       
      ne20  he4  o16                       
      ne20  he4  o16                       
      ne20  he4  o16                       
      ne21    n ne20                       
      ne21    n ne20                       
      ne21    p  f20                       
      ne21  he4  o17                       
      ne21  he4  o17                       
      ne22    n ne21                       
      ne22    n ne21                       
      ne22    p  f21                       
      ne22  he4  o18                       
      ne22  he4  o18                       
      ne22  he4  o18                       
      ne22  he4  o18                       
      ne23    n ne22                       
      ne23    n ne22                       
      ne23    p  f22                       
      ne23  he4  o19                       
      ne24    n ne23                       
      ne24    n ne23                       
      ne24    p  f23                       
      ne24  he4  o20                       
      ne25    n ne24                       
      ne25    p  f24                       
      ne25  he4  o21                       
      ne26    n ne25                       
      ne26    n na25                       
      ne26    p  f25                       
      ne26  he4  o22                       
      ne27    n ne26                       
      ne27    n na26                       
      ne27    p  f26                       
      ne27  he4  o23                       
      ne28    n ne27                       
      ne28    n na27                       
      ne28    p  f27                       
      ne28  he4  o24                       
      ne29    n ne28                       
      ne29    n na28                       
      ne29    p  f28                       
      ne29  he4  o25                       
      ne30    n ne29                       
      ne30    n na29                       
      ne30    p  f29                       
      ne30  he4  o26                       
      ne31    n ne30                       
      ne31    n na30                       
      ne31    p  f30                       
      ne31  he4  o27                       
      ne32    n ne31                       
      ne32    n na31                       
      ne32    p  f31                       
      ne32  he4  o28                       
      ne33    n ne32                       
      ne33    n na32                       
      ne33    p  f32                       
      ne33  he4  o29                       
      ne34    n ne33                       
      ne34    n na33                       
      ne34    p  f33                       
      ne34  he4  o30                       
      ne35    n ne34                       
      ne35    n na34                       
      ne35    p  f34                       
      ne35  he4  o31                       
      ne36    n ne35                       
