CODATA 2022 + astrophysical constants
Most quantities have been converted to CGS
Generated on Feb 10, 2025
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Reference:

Mohr, P. , Tiesinga, E. , Newell, D. and Taylor, B. (2024), Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
Codata Internationally Recommended 2022 Values of the Fundamental Physical Constants, 
[online], https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=958002, https://physics.nist.gov/constants (Accessed February 10, 2025)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Symbol                    Name                                                              Value Unit                     Uncertainty Source                                       
K_J-90                    conventional value of Josephson constant                 4.83597900e+14 Hz V^-1               0.00000000e+00 CODATA2022                                   
R_K-90                    conventional value of von Klitzing constant              2.58128070e+04 ohm                   0.00000000e+00 CODATA2022                                   
xu(CuKa1)                 Cu x unit                                                1.00207697e-11 cm                    2.80000000e-18 CODATA2022                                   
muD_e                     deuteron-electron mag. mom. ratio                       -4.66434555e-04                       1.20000000e-12 CODATA2022                                   
mD_e                      deuteron-electron mass ratio                             3.67048297e+03                       1.30000000e-07 CODATA2022                                   
g_D                       deuteron g factor                                        8.57438234e-01                       2.20000000e-09 CODATA2022                                   
muD                       deuteron mag. mom.                                       4.33073509e-27 J T^-1                1.10000000e-35 CODATA2022                                   
muD_Bhor                  deuteron mag. mom. to Bohr magneton ratio                4.66975457e-04                       1.20000000e-12 CODATA2022                                   
muD_Nuc                   deuteron mag. mom. to nuclear magneton ratio             8.57438234e-01                       2.20000000e-09 CODATA2022                                   
mD                        deuteron mass                                            3.34358377e-24 g                     1.00000000e-33 CODATA2022                                   
mD_E                      deuteron mass energy equivalent                          3.00506323e-03 erg                   9.10000000e-13 CODATA2022                                   
mD_E_MeV                  deuteron mass energy equivalent in MeV                   3.00506323e-03 erg                   9.13240681e-13 CODATA2022                                   
mD_u                      deuteron mass in u                                       3.34358377e-24 g                     6.64215627e-35 CODATA2022                                   
MD                        deuteron molar mass                                      2.01355321e+00 g / mol               6.10000000e-10 CODATA2022                                   
muD_n                     deuteron-neutron mag. mom. ratio                        -4.48206530e-01                       1.10000000e-07 CODATA2022                                   
muD_p                     deuteron-proton mag. mom. ratio                          3.07012209e-01                       7.90000000e-10 CODATA2022                                   
mD_p                      deuteron-proton mass ratio                               1.99900750e+00                       1.10000000e-10 CODATA2022                                   
RrmsD                     deuteron rms charge radius                               2.12799000e-13 cm                    7.40000000e-17 CODATA2022                                   
eps_0                     electric constant                                        8.85418781e-12 F m^-1                1.30000000e-21 CODATA2022                                   
qE_m                      electron charge to mass quotient                        -1.75882001e+11 C kg^-1               5.30000000e+01 CODATA2022                                   
muE_D                     electron-deuteron mag. mom. ratio                       -2.14392349e+03                       5.60000000e-06 CODATA2022                                   
mE_D                      electron-deuteron mass ratio                             2.72443711e-04                       9.60000000e-15 CODATA2022                                   
g_e                       electron g factor                                       -2.00231930e+00                       3.50000000e-13 CODATA2022                                   
rg_e                      electron gyromag. ratio                                  1.76085963e+11 s^-1 T^-1             5.30000000e+01 CODATA2022                                   
rg_e_2pi                  electron gyromag. ratio over 2 pi                        2.80249516e+04 MHz T^-1              1.70000000e-04 CODATA2022                                   
muE                       electron mag. mom.                                      -9.28476470e-24 J T^-1                2.80000000e-33 CODATA2022                                   
muE_anom                  electron mag. mom. anomaly                               1.15965218e-03                       1.80000000e-13 CODATA2022                                   
muE_Bhor                  electron mag. mom. to Bohr magneton ratio               -1.00115965e+00                       1.80000000e-13 CODATA2022                                   
muE_Nuc                   electron mag. mom. to nuclear magneton ratio            -1.83828197e+03                       1.10000000e-07 CODATA2022                                   
mE                        electron mass                                            9.10938370e-28 g                     2.80000000e-37 CODATA2022                                   
mE_E                      electron mass energy equivalent                          8.18710578e-07 erg                   2.50000000e-16 CODATA2022                                   
mE_MeV                    electron mass energy equivalent in MeV                   8.18710578e-07 erg                   2.40326495e-16 CODATA2022                                   
mE_u                      electron mass in u                                       9.10938370e-28 g                     2.65686251e-38 CODATA2022                                   
ME                        electron molar mass                                      5.48579909e-04 g / mol               1.70000000e-13 CODATA2022                                   
muE_mu                    electron-muon mag. mom. ratio                            2.06766988e+02                       4.60000000e-06 CODATA2022                                   
mE_mu                     electron-muon mass ratio                                 4.83633169e-03                       1.10000000e-10 CODATA2022                                   
muE_n                     electron-neutron mag. mom. ratio                         9.60920500e+02                       2.30000000e-04 CODATA2022                                   
mE_n                      electron-neutron mass ratio                              5.43867344e-04                       2.60000000e-13 CODATA2022                                   
muE_p                     electron-proton mag. mom. ratio                         -6.58210688e+02                       2.00000000e-07 CODATA2022                                   
mE_p                      electron-proton mass ratio                               5.44617021e-04                       3.30000000e-14 CODATA2022                                   
mE_tau                    electron-tau mass ratio                                  2.87585000e-04                       1.90000000e-08 CODATA2022                                   
mE_alpha                  electron to alpha particle mass ratio                    1.37093355e-04                       4.50000000e-15 CODATA2022                                   
muE_H_shield              electron to shielded helion mag. mom. ratio              8.64058257e+02                       1.00000000e-05 CODATA2022                                   
muE_p_shield              electron to shielded proton mag. mom. ratio             -6.58227597e+02                       7.20000000e-06 CODATA2022                                   
eV                        electron volt                                            1.60217663e-12 erg                   0.00000000e+00 CODATA2022                                   
eV_amu                    electron volt-atomic mass unit relationship              1.78266192e-33 g                     5.31372501e-43 CODATA2022                                   
eV_hartree                electron volt-hartree relationship                       3.67493222e-02 E_h                   7.10000000e-14 CODATA2022                                   
eV_Hz                     electron volt-hertz relationship                         2.41798924e+14 1 / s                 0.00000000e+00 CODATA2022                                   
eV_invm                   electron volt-inverse meter relationship                 8.06554394e+03 1 / cm                0.00000000e+00 CODATA2022                                   
eV_J                      electron volt-joule relationship                         1.60217663e-12 erg                   0.00000000e+00 CODATA2022                                   
eV_K                      electron volt-kelvin relationship                        1.16045181e+04 K                     0.00000000e+00 CODATA2022                                   
eV_kg                     electron volt-kilogram relationship                      1.78266192e-33 g                     0.00000000e+00 CODATA2022                                   
e                         elementary charge                                        1.60217663e-19 C                     0.00000000e+00 CODATA2022                                   
e_h                       elementary charge over h                                 2.41798926e+14 A J^-1                1.50000000e+06 CODATA2022                                   
F                         Faraday constant                                         9.64853321e+04 C mol^-1              0.00000000e+00 CODATA2022                                   
F_conv                    Faraday constant for conventional electric current       9.64853251e+04 C_90 mol^-1           1.20000000e-03 CODATA2022                                   
G_F                       Fermi coupling constant                                  4.54379566e+00 s4 / (g2 cm4)         2.33738613e-06 CODATA2022                                   
alpha                     fine-structure constant                                  7.29735257e-03                       1.10000000e-12 CODATA2022                                   
c1                        first radiation constant                                 3.74177185e-05 St erg                0.00000000e+00 CODATA2022                                   
c1L                       first radiation constant for spectral radiance           1.19104297e-05 St erg / rad2         0.00000000e+00 CODATA2022                                   
Eh_amu                    hartree-atomic mass unit relationship                    4.85087021e-32 g                     1.46127438e-41 CODATA2022                                   
Eh_eV                     hartree-electron volt relationship                       4.35974472e-11 erg                   8.49153616e-23 CODATA2022                                   
Eh                        Hartree energy                                           4.35974472e-11 erg                   8.50000000e-23 CODATA2022                                   
Eh_E_eV                   Hartree energy in eV                                     4.35974472e-11 erg                   8.49153616e-23 CODATA2022                                   
Eh_Hz                     hartree-hertz relationship                               6.57968392e+15 1 / s                 1.30000000e+04 CODATA2022                                   
Eh_invm                   hartree-inverse meter relationship                       2.19474631e+05 1 / cm                4.30000000e-07 CODATA2022                                   
Eh_J                      hartree-joule relationship                               4.35974472e-11 erg                   8.50000000e-23 CODATA2022                                   
Eh_K                      hartree-kelvin relationship                              3.15775025e+05 K                     6.10000000e-07 CODATA2022                                   
Eh_kg                     hartree-kilogram relationship                            4.85087021e-32 g                     9.40000000e-44 CODATA2022                                   
mH_e                      helion-electron mass ratio                               5.49588528e+03                       2.40000000e-07 CODATA2022                                   
mH                        helion mass                                              5.00641278e-24 g                     1.50000000e-33 CODATA2022                                   
mH_E                      helion mass energy equivalent                            4.49953941e-03 erg                   1.40000000e-12 CODATA2022                                   
mH_E_eV                   helion mass energy equivalent in MeV                     4.49953941e-03 erg                   1.36185014e-12 CODATA2022                                   
mH_u                      helion mass in u                                         5.00641278e-24 g                     1.61072289e-34 CODATA2022                                   
MH                        helion molar mass                                        3.01493225e+00 g / mol               9.10000000e-10 CODATA2022                                   
mH_p                      helion-proton mass ratio                                 2.99315267e+00                       1.30000000e-10 CODATA2022                                   
Hz_amu                    hertz-atomic mass unit relationship                      7.37249732e-48 g                     2.15870079e-57 CODATA2022                                   
Hz_eV                     hertz-electron volt relationship                         6.62607015e-27 erg                   0.00000000e+00 CODATA2022                                   
Hz_Eh                     hertz-hartree relationship                               1.51982985e-16 E_h                   2.90000000e-28 CODATA2022                                   
Hz_invm                   hertz-inverse meter relationship                         3.33564095e-11 1 / cm                0.00000000e+00 CODATA2022                                   
Hz_J                      hertz-joule relationship                                 6.62607015e-27 erg                   0.00000000e+00 CODATA2022                                   
Hz_K                      hertz-kelvin relationship                                4.79924307e-11 K                     0.00000000e+00 CODATA2022                                   
Hz_kg                     hertz-kilogram relationship                              7.37249732e-48 g                     0.00000000e+00 CODATA2022                                   
invalpha                  inverse fine-structure constant                          1.37035999e+02                       2.10000000e-08 CODATA2022                                   
invm_amu                  inverse meter-atomic mass unit relationship              2.21021909e-39 g                     6.64215627e-49 CODATA2022                                   
invm_eV                   inverse meter-electron volt relationship                 1.98644586e-18 erg                   0.00000000e+00 CODATA2022                                   
invm_Eh                   inverse meter-hartree relationship                       4.55633525e-08 E_h                   8.80000000e-20 CODATA2022                                   
invm_Hz                   inverse meter-hertz relationship                         2.99792458e+08 1 / s                 0.00000000e+00 CODATA2022                                   
invm_J                    inverse meter-joule relationship                         1.98644586e-18 erg                   0.00000000e+00 CODATA2022                                   
invm_K                    inverse meter-kelvin relationship                        1.43877688e-02 K                     0.00000000e+00 CODATA2022                                   
invm_kg                   inverse meter-kilogram relationship                      2.21021909e-39 g                     0.00000000e+00 CODATA2022                                   
invG0                     inverse of conductance quantum                           1.29064037e+04 ohm                   0.00000000e+00 CODATA2022                                   
K_J                       Josephson constant                                       4.83597848e+14 Hz V^-1               0.00000000e+00 CODATA2022                                   
J_amu                     joule-atomic mass unit relationship                      1.11265006e-14 g                     3.32107813e-24 CODATA2022                                   
J_eV                      joule-electron volt relationship                         1.00000000e+07 erg                   0.00000000e+00 CODATA2022                                   
J_Eh                      joule-hartree relationship                               2.29371228e+17 E_h                   4.50000000e+05 CODATA2022                                   
J_Hz                      joule-hertz relationship                                 1.50919018e+33 1 / s                 0.00000000e+00 CODATA2022                                   
J_invm                    joule-inverse meter relationship                         5.03411657e+22 1 / cm                0.00000000e+00 CODATA2022                                   
J_K                       joule-kelvin relationship                                7.24297052e+22 K                     0.00000000e+00 CODATA2022                                   
J_kg                      joule-kilogram relationship                              1.11265006e-14 g                     0.00000000e+00 CODATA2022                                   
K_amu                     kelvin-atomic mass unit relationship                     1.53617919e-37 g                     4.64950939e-47 CODATA2022                                   
K_eV                      kelvin-electron volt relationship                        1.38064900e-16 erg                   0.00000000e+00 CODATA2022                                   
K_Eh                      kelvin-hartree relationship                              3.16681156e-06 E_h                   6.10000000e-18 CODATA2022                                   
K_Hz                      kelvin-hertz relationship                                2.08366191e+10 1 / s                 0.00000000e+00 CODATA2022                                   
K_invm                    kelvin-inverse meter relationship                        6.95034800e-01 1 / cm                0.00000000e+00 CODATA2022                                   
K_J                       kelvin-joule relationship                                1.38064900e-16 erg                   0.00000000e+00 CODATA2022                                   
K_kg                      kelvin-kilogram relationship                             1.53617919e-37 g                     0.00000000e+00 CODATA2022                                   
kg_amu                    kilogram-atomic mass unit relationship                   1.00000000e+03 g                     2.98897032e-07 CODATA2022                                   
kg_eV                     kilogram-electron volt relationship                      8.98755179e+23 erg                   0.00000000e+00 CODATA2022                                   
kg_Eh                     kilogram-hartree relationship                            2.06148579e+34 E_h                   4.00000000e+22 CODATA2022                                   
kg_Hz                     kilogram-hertz relationship                              1.35639249e+50 1 / s                 0.00000000e+00 CODATA2022                                   
kg_invm                   kilogram-inverse meter relationship                      4.52443833e+39 1 / cm                0.00000000e+00 CODATA2022                                   
kg_J                      kilogram-joule relationship                              8.98755179e+23 erg                   0.00000000e+00 CODATA2022                                   
kg_K                      kilogram-kelvin relationship                             6.50965726e+39 K                     0.00000000e+00 CODATA2022                                   
aSi                       lattice parameter of silicon                             5.43102051e-08 cm                    8.90000000e-16 CODATA2022                                   
n0                        Loschmidt constant (273.15 K, 101.325 kPa)               2.68678011e+19 1 / cm3               0.00000000e+00 CODATA2022                                   
mu0                       mag. constant                                            1.25663706e-06 N A^-2                1.90000000e-16 CODATA2022                                   
Phi0                      mag. flux quantum                                        2.06783385e-15 Wb                    0.00000000e+00 CODATA2022                                   
R                         molar gas constant                                       8.31446262e+07 erg / (K mol)         0.00000000e+00 CODATA2022                                   
Mu                        molar mass constant                                      1.00000000e+00 g / mol               3.00000000e-10 CODATA2022                                   
MC12                      molar mass of carbon-12                                  1.20000000e+01 g / mol               3.60000000e-09 CODATA2022                                   
h_mol                     molar Planck constant                                    3.99031271e-03 St g / mol            0.00000000e+00 CODATA2022                                   
